Test_Case,Category,Mode,Total_Recipes,Relevant_Recipes,Safety_Violations,Safety_Rate,MRR,MAP,P@3,NDCG@3,P@5,NDCG@5,P@10,NDCG@10
AUTO_FULL_INDIAN_VEG,Auto-Basic,Auto,30,23,1,0.9666666666666667,1.0,0.8042546383325476,1.0,1.0,0.8,0.8539316501572937,0.9,0.9052116356304495
AUTO_NONVEG_INDIAN,Auto-Basic,Auto,30,27,0,1.0,1.0,0.887951902015434,0.6666666666666666,0.7039180890341348,0.8,0.7860137352654724,0.9,0.8611375561264456
AUTO_MINIMAL_PANTRY,Auto-Challenge,Auto,30,29,0,1.0,1.0,0.9254602138763081,0.6666666666666666,0.7653606369886217,0.8,0.830419897363192,0.9,0.88995411685096
AUTO_EMPTY_PANTRY,Auto-Challenge,Auto,30,25,0,1.0,1.0,0.8515108704678448,0.6666666666666666,0.7653606369886217,0.8,0.830419897363192,0.8,0.8263333286520084
AUTO_VEGAN_PANTRY,Auto-Safety,Auto,30,25,0,1.0,0.5,0.7995866259866612,0.6666666666666666,0.5307212739772436,0.8,0.6608397947263839,0.9,0.77990823370192
AUTO_UNDERWEIGHT,Auto-Health,Auto,30,23,1,0.9666666666666667,1.0,0.7877435571549425,1.0,1.0,0.8,0.8687949224876582,0.6,0.7058075148678528
AUTO_OVERWEIGHT,Auto-Health,Auto,30,24,1,0.9666666666666667,1.0,0.808829308530087,1.0,1.0,0.8,0.8539316501572937,0.7,0.762416491594312
AUTO_WITH_ALLERGIES,Auto-Safety,Auto,30,22,0,1.0,1.0,0.9371295650513918,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
SMART_SOUTH_FULL,Smart-Regional,Smart,30,17,0,1.0,0.2,0.5384208099002268,0.0,0.0,0.2,0.13120507751234178,0.6,0.43621154230977455
SMART_NORTH_FULL,Smart-Regional,Smart,30,15,0,1.0,1.0,0.42357579588523325,0.3333333333333333,0.46927872602275644,0.2,0.3391602052736161,0.2,0.2984900352767556
SMART_SOUTH_NORTH_MIX,Smart-Regional,Smart,30,17,0,1.0,0.3333333333333333,0.5303815230816132,0.3333333333333333,0.23463936301137833,0.6,0.4468535299918563,0.5,0.4378068560756646
SMART_COLD_FLU,Smart-Health,Smart,30,19,0,1.0,1.0,0.6531124277211796,0.3333333333333333,0.46927872602275644,0.6,0.6164336326286642,0.6,0.6154062275862391
SMART_WEIGHT_LOSS,Smart-Health,Smart,30,18,0,1.0,0.5,0.545512240057541,0.3333333333333333,0.2960819109658652,0.2,0.21398626473452756,0.5,0.4204996466049308
SMART_MUSCLE_GAIN,Smart-Health,Smart,30,18,0,1.0,1.0,0.7245623882755392,0.6666666666666666,0.7039180890341348,0.8,0.7860137352654724,0.7,0.7254521107352793
SMART_PREGNANCY,Smart-Health,Smart,30,10,0,1.0,0.16666666666666666,0.24880588020648875,0.0,0.0,0.0,0.0,0.2,0.15176219107803549
SMART_JAIN_DIET,Smart-Dietary,Smart,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SMART_GLUTEN_FREE,Smart-Dietary,Smart,30,24,0,1.0,1.0,0.9363161900510414,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
SMART_DIABETIC,Smart-Dietary,Smart,30,13,1,0.9666666666666667,0.125,0.3677768942963447,0.0,0.0,0.0,0.0,0.2,0.13305201013572898
SMART_QUICK_BREAKFAST,Smart-Lifestyle,Smart,30,22,0,1.0,0.5,0.6690093610419175,0.6666666666666666,0.5307212739772436,0.6,0.5147714448836775,0.7,0.6067216003536938
SMART_MEAL_PREP,Smart-Lifestyle,Smart,30,10,0,1.0,0.14285714285714285,0.2795305007880052,0.0,0.0,0.0,0.0,0.2,0.13961814555374916
EDGE_CONTRADICTORY,Edge-Case,Smart,30,16,0,1.0,0.2,0.4451073122316728,0.0,0.0,0.2,0.13120507751234178,0.2,0.16354138662029638
EDGE_MULTI_CONSTRAINT,Edge-Case,Smart,30,27,0,1.0,1.0,0.9397676187554714,1.0,1.0,1.0,1.0,0.9,0.9363792118010485
EDGE_FUSION,Edge-Case,Smart,30,8,0,1.0,1.0,0.5952083333333335,0.6666666666666666,0.7653606369886217,0.6,0.6992148198508501,0.5,0.6743796495166676
EDGE_SEASONAL,Edge-Case,Smart,30,9,0,1.0,0.16666666666666666,0.30187264953257853,0.0,0.0,0.0,0.0,0.4,0.3069778064768439
EDGE_BUDGET,Edge-Case,Smart,30,20,0,1.0,0.25,0.5702070398286747,0.0,0.0,0.4,0.2772734273550482,0.4,0.31691619230948354
LEARNING_COLD_START,Learning,Cold,10,8,0,1.0,1.0,0.7260912698412698,0.3333333333333333,0.46927872602275644,0.6,0.6164336326286642,0.8,0.8631997506525685
LEARNING_WARM_START,Learning,Warm,10,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
